"province","variable","value","year"
"Álava","Total de nacimientos","12","2007"
"Albacete","Total de nacimientos","38","2007"
"Alicante","Total de nacimientos","225","2007"
"Almería","Total de nacimientos","160","2007"
"Ávila","Total de nacimientos","14","2007"
"Badajoz","Total de nacimientos","69","2007"
"Baleares","Total de nacimientos","104","2007"
"Barcelona","Total de nacimientos","344","2007"
"Burgos","Total de nacimientos","21","2007"
"Cáceres","Total de nacimientos","45","2007"
"Cádiz","Total de nacimientos","227","2007"
"Castellón","Total de nacimientos","56","2007"
"Ciudad Real","Total de nacimientos","66","2007"
"Córdoba","Total de nacimientos","114","2007"
"A Coruña","Total de nacimientos","48","2007"
"Cuenca","Total de nacimientos","30","2007"
"Girona","Total de nacimientos","60","2007"
"Granada","Total de nacimientos","145","2007"
"Guadalajara","Total de nacimientos","13","2007"
"Gipuzkoa","Total de nacimientos","26","2007"
"Huelva","Total de nacimientos","100","2007"
"Huesca","Total de nacimientos","19","2007"
"Jaén","Total de nacimientos","99","2007"
"León","Total de nacimientos","37","2007"
"Lleida","Total de nacimientos","44","2007"
"La Rioja","Total de nacimientos","30","2007"
"Lugo","Total de nacimientos","19","2007"
"Madrid","Total de nacimientos","622","2007"
"Malaga","Total de nacimientos","200","2007"
"Murcia","Total de nacimientos","306","2007"
"Navarra","Total de nacimientos","56","2007"
"Ourense","Total de nacimientos","10","2007"
"Asturias","Total de nacimientos","55","2007"
"Palencia","Total de nacimientos","9","2007"
"Las Palmas","Total de nacimientos","143","2007"
"Pontevedra","Total de nacimientos","41","2007"
"Salamanca","Total de nacimientos","20","2007"
"Tenerife","Total de nacimientos","100","2007"
"Cantabria","Total de nacimientos","30","2007"
"Segovia","Total de nacimientos","18","2007"
"Sevilla","Total de nacimientos","295","2007"
"Soria","Total de nacimientos","4","2007"
"Tarragona","Total de nacimientos","71","2007"
"Teruel","Total de nacimientos","2","2007"
"Toledo","Total de nacimientos","71","2007"
"Valencia","Total de nacimientos","248","2007"
"Valladolid","Total de nacimientos","34","2007"
"Bizkaia","Total de nacimientos","52","2007"
"Zamora","Total de nacimientos","10","2007"
"Zaragoza","Total de nacimientos","60","2007"
"Ceuta","Total de nacimientos","22","2007"
"Melilla","Total de nacimientos","12","2007"
"España","Total de nacimientos","4656","2007"
"Álava","Tasa de nacimientos","0.17","2007"
"Albacete","Tasa de nacimientos","0.287","2007"
"Alicante","Tasa de nacimientos","0.416","2007"
"Almería","Tasa de nacimientos","0.729","2007"
"Ávila","Tasa de nacimientos","0.297","2007"
"Badajoz","Tasa de nacimientos","0.283","2007"
"Baleares","Tasa de nacimientos","0.348","2007"
"Barcelona","Tasa de nacimientos","0.252","2007"
"Burgos","Tasa de nacimientos","0.229","2007"
"Cáceres","Tasa de nacimientos","0.342","2007"
"Cádiz","Tasa de nacimientos","0.536","2007"
"Castellón","Tasa de nacimientos","0.344","2007"
"Ciudad Real","Tasa de nacimientos","0.371","2007"
"Córdoba","Tasa de nacimientos","0.404","2007"
"A Coruña","Tasa de nacimientos","0.174","2007"
"Cuenca","Tasa de nacimientos","0.472","2007"
"Girona","Tasa de nacimientos","0.307","2007"
"Granada","Tasa de nacimientos","0.466","2007"
"Guadalajara","Tasa de nacimientos","0.204","2007"
"Gipuzkoa","Tasa de nacimientos","0.161","2007"
"Huelva","Tasa de nacimientos","0.595","2007"
"Huesca","Tasa de nacimientos","0.349","2007"
"Jaén","Tasa de nacimientos","0.39","2007"
"León","Tasa de nacimientos","0.308","2007"
"Lleida","Tasa de nacimientos","0.404","2007"
"La Rioja","Tasa de nacimientos","0.372","2007"
"Lugo","Tasa de nacimientos","0.233","2007"
"Madrid","Tasa de nacimientos","0.377","2007"
"Malaga","Tasa de nacimientos","0.406","2007"
"Murcia","Tasa de nacimientos","0.673","2007"
"Navarra","Tasa de nacimientos","0.354","2007"
"Ourense","Tasa de nacimientos","0.131","2007"
"Asturias","Tasa de nacimientos","0.237","2007"
"Palencia","Tasa de nacimientos","0.201","2007"
"Las Palmas","Tasa de nacimientos","0.43","2007"
